Config: 
--------------------------------------------
leader L1 of team T0 discovered at 25751.000000 that M16 is in danger (after 4319ms proces-to-process, 111ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L1 of team T0 discovered at 31772.000000 that M19 is in danger (after 2611ms proces-to-process, 1270ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L1 of team T0 discovered at 19350.000000 that M18 is in danger (after 3098ms proces-to-process, 2143ms node-to-node, 5hops, 0versions (7 first, 7 discovered)

Results: 
-----------------------------
Process-2-process response time: avg=4057.448864, min=241, max=15324, median=3582
Node-2-node response time: avg=2288.670455, min=19, max=11907, median=1614
Hops: avg=4.153409, min=1, max=11, median=4
Process-2-process response time / 1 hop: avg=1130.454545, min=241, max=6907, median=948
Node-2-node response time / 1 hop: avg=578.500000, min=19, max=5206, median=363
Version difference: avg=0.619318, min=0, max=6, median=0
Ratio of leader discoveries: 176 of 184 (95.652174%)
Ratio of discoveries regardless the number of leaders: 44 of 46 (95.652174%)
